t, v, x
1.25,-0.02704716229444027,0.5456000463182659
1.26,-0.032205415856286695,0.5453037379731916
1.27,-0.037309139471917364,0.5449561197690603
1.28,-0.042358367898609826,0.5445577368358008
1.29,-0.04735314097011767,0.5441091339303413
1.3,-0.05229350354219522,0.5436108553861173
1.31,-0.05717950543816462,0.5430634450631234
1.32,-0.06201120139453027,0.54246744629851
1.33,-0.06678865100664548,0.5418234018577225
1.34,-0.07151191867443635,0.5411318538861852
1.35,-0.07618107354818761,0.5403933438615259
1.36,-0.08079618947439529,0.5396084125463436
1.37,-0.0853573449416908,0.5387775999415164
1.3800000000000001,-0.08986462302684124,0.5379014452400506
1.3900000000000001,-0.09431811134083051,0.5369804867814688
1.4000000000000001,-0.0987179019750257,0.5360152620067371
1.41,-0.10306409144743336,0.5350063074137298
1.42,-0.10735678064905015,0.5339541585132317
1.43,-0.11159607479031199,0.5328593497854758
1.44,-0.11578208334764652,0.5317224146372161
1.45,-0.11991492001013271,0.530543885359335
1.46,-0.12399470262627217,0.5293242930849826
1.47,-0.12802155315087613,0.528064167748248
1.48,-0.13199559759207238,0.5267640380433617
1.49,-0.13591696595843622,0.5254244313844266
1.5,-0.13978579220624934,0.5240458738656775
1.51,-0.14360221418689073,0.5226288902222669
1.52,-0.14736637359436353,0.521174003791577
1.53,-0.15107841591296153,0.5196817364750548
1.54,-0.15473849036507942,0.5181526087005704
1.55,-0.15834674985917024,0.5165871393852967
1.56,-0.16190335093785405,0.5149858458991075
1.57,-0.16540845372618115,0.5133492440284955
1.58,-0.16886222188005381,0.5116778479410057
1.59,-0.17226482253480976,0.5099721701501841
1.6,-0.17561642625397114,0.5082327214810399
1.61,-0.17891720697816227,0.5064600110360189
1.62,-0.1821673419741997,0.5046545461614874
1.6300000000000001,-0.18536701178435783,0.502816832414724
1.6400000000000001,-0.18851640017581348,0.500947373531418
1.6500000000000001,-0.19161569409027254,0.49904667139367254
1.6600000000000001,-0.19466508359378212,0.49711522599851
1.67,-0.19766476182673096,0.4951535354268791
1.68,-0.2006149249540417,0.49316209581316073
1.69,-0.2035157721155577,0.4911414013151704
1.7,-0.20636750537662746,0.48909194408465684
1.71,-0.2091703296788896,0.4870142142382927
1.72,-0.21192445279126162,0.48490869982915724
1.73,-0.2146300852611347,0.48277588681870753
1.74,-0.2172874403657778,0.4806162590492369
1.75,-0.21989673406395366,0.4784302982168183
1.76,-0.22245818494774947,0.47621848384473053
1.77,-0.22497201419462465,0.4739812932573646
1.78,-0.22743844551967873,0.4717192015546091
1.79,-0.22985770512814155,0.4694326815867115
1.8,-0.23223002166808834,0.46712220392961334
1.81,-0.23455562618338247,0.46478823686075754
1.82,-0.2368347520668478,0.4624312463353645
1.83,-0.2390676350136734,0.4600516959631758
1.84,-0.2412545129750528,0.45765004698566275
1.85,-0.24339562611205992,0.4552267582536968
1.86,-0.24549121674976426,0.4527822862056806
1.87,-0.2475415293315872,0.45031708484613653
1.8800000000000001,-0.24954681037390178,0.4478316057247501
1.8900000000000001,-0.25150730842087776,0.4453262979158667
1.9000000000000001,-0.2534232739995745,0.4428016079984381
1.9100000000000001,-0.25529495957528314,0.44025798003641736
1.92,-0.2571226195071205,0.43769585555959856
1.93,-0.2589065100038761,0.43511567354489955
1.94,-0.2606468890801146,0.4325178703980849
1.95,-0.26234401651253547,0.42990287993592674
1.96,-0.26399815379659153,0.4272711333688002
1.97,-0.2656095641033679,0.42462305928371197
1.98,-0.26717851223672345,0.4219590836277585
1.99,-0.2687052645906964,0.41927962969201127
2,-0.270190089107175,0.416585118095827
2.0100000000000002,-0.2716332552338362,0.4138759667715796
2.02,-0.27303503388235206,0.41115259094981166
2.0300000000000002,-0.27439569738686714,0.408415403144802
2.04,-0.275715519462747,0.40566481314054775
2.05,-0.2769947751656001,0.4029012279771571
2.06,-0.27823374085057373,0.4001250519376507
2.07,-0.2794326941319258,0.3973366865351685
2.08,-0.2805919138428738,0.3945365305005799
2.09,-0.2817116799957217,0.3917249797704934
2.1,-0.28279227374226645,0.3889024274756642
2.11,-0.28383397733448484,0.386069263929796
2.12,-0.2848370740855024,0.3832258766187346
2.13,-0.2858018483308448,0.38037265019005023
2.14,-0.28672858538997326,0.37750996644300644
2.15,-0.2876175715281046,0.37463820431891154
2.16,-0.2884690939183172,0.371757739891851
2.17,-0.2892834406039439,0.368868946359797
2.18,-0.2900609004612518,0.3659721940360927
2.19,-0.2908017631624115,0.3630678503413084
2.2,-0.2915063191387548,0.3601562797954663
2.21,-0.2921748595443228,0.35723784401063163
2.22,-0.2928076762197049,0.35431290168386625
2.23,-0.29340506165616886,0.3513818085905431
2.24,-0.29396730896008366,0.3484449175780173
2.25,-0.2944947118176346,0.34550257855965216
2.2600000000000002,-0.29498756445983204,0.34255513850919567
2.27,-0.2954461616278141,0.33960294145550646
2.2800000000000002,-0.2958707985384439,0.3366463284776246
2.29,-0.2962617708502014,0.3336856377001851
2.3000000000000003,-0.2966193746293713,0.3307212042891711
2.31,-0.2969439063165264,0.32775336044800374
2.32,-0.2972356626933071,0.32478243541396534
2.33,-0.2974949408494979,0.32180875545495397
2.34,-0.2977220381504006,0.31883264386656507
2.35,-0.2979172522045047,0.3158544209694984
2.36,-0.29808088083145534,0.3128744041072864
2.37,-0.2982132220303191,0.3098929076443417
2.38,-0.2983145739481473,0.30691024296432023
2.39,-0.298385234848838,0.3039267184687974
2.4,-0.2984255030822956,0.3009426395762539
2.41,-0.298435677053889,0.29795830872136886
2.42,-0.29841605519420833,0.29497402535461653
2.43,-0.2983669359291197,0.29199008594216397
2.44,-0.2982886176501187,0.2890067839660669
2.45,-0.29818139868498206,0.2860244099247603
2.46,-0.298045577268718,0.28304325133384123
2.47,-0.29788145151481443,0.2800635927271404
2.48,-0.29768931938678583,0.2770857156580798
2.49,-0.2974694786700176,0.2741098987013138
2.5,-0.29722222694390876,0.27113641745464956
2.5100000000000002,-0.2969478615543122,0.26816554454124525
2.52,-0.29664667958627206,0.2651975496120819
2.5300000000000002,-0.296318977837059,0.26223269934870674
2.54,-0.29596505278950175,0.25927125746624424
2.5500000000000003,-0.2955852005856156,0.25631348471667287
2.56,-0.29517971700052725,0.2533596388923638
2.57,-0.29474889741669547,0.25040997482987887
2.58,-0.2942930367984275,0.24746474441402502
2.59,-0.29381242966669047,0.24452419658216193
2.6,-0.2933073700742176,0.24158857732876016
2.61,-0.29277815158090875,0.23865812971020675
2.62,-0.2922250672295248,0.23573309384985525
2.63,-0.29164840952167514,0.23281370694331752
2.64,-0.2910484703940982,0.229900203263994
2.65,-0.2904255411952339,0.22699281416883987
2.66,-0.2897799126620881,0.2240917681043639
2.67,-0.28911187489738766,0.22119729061285728
2.68,-0.28842171734702643,0.21830960433884947
2.69,-0.28770972877780054,0.21542892903578795
2.7,-0.2869761972554331,0.2125554815729395
2.71,-0.2862214101228871,0.20968947594250947
2.72,-0.28544565397896626,0.2068311232669767
2.73,-0.2846492146572026,0.20398063180664083
2.74,-0.2838323772050305,0.20113820696737947
2.75,-0.28299542586324594,0.19830405130861206
2.7600000000000002,-0.2821386440457504,0.1954783645514678
2.77,-0.2812623143195789,0.19266134358715467
2.7800000000000002,-0.2803667183852106,0.1898531824855268
2.79,-0.27945213705716193,0.18705407250384729
